Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(1) 17%,21,0.9,166.0,0.71,110.0,71%,0.48,0.33,0.19,0.1,10,14,7,4,2,omen,k1ra
(1) 17%,14,0.95,209.0,0.69,114.0,50%,0.64,0.21,0.29,0.14,9,13,3,4,2,raze,k1ra
(2) 29%,43,1.37,207.5,1.0,177.0,58%,0.72,0.12,0.04,0.21,31,31,5,1,5,killjoy,slowly
(2) 29%,36,1.03,216.0,0.9,155.1,67%,0.78,0.28,0.14,0.14,28,31,10,5,5,yoru,slowly
(1) 14%,26,,196.0,0.77,,,0.65,0.38,,,17,22,10,0,0,cypher,slowly
(1) 14%,22,1.82,376.0,2.38,226.0,77%,1.41,0.0,0.27,0.14,31,13,0,6,3,jett,slowly
(1) 14%,16,,276.0,1.78,,,1.0,0.31,,,16,9,5,0,0,vyse,slowly
(2) 67%,42,,246.0,1.15,,,0.9,0.14,,,38,33,6,0,0,neon,splash
(1) 33%,19,,246.0,0.94,,,0.79,0.05,,,15,16,1,0,0,raze,splash
(3) 43%,55,0.81,226.3,1.15,158.0,55%,0.82,0.24,0.15,0.05,45,39,13,3,1,viper,scales
(1) 14%,26,,155.0,0.74,,,0.54,0.5,,,14,19,13,0,0,breach,scales
(1) 14%,24,0.59,89.0,0.41,61.0,54%,0.29,0.21,0.0,0.21,7,17,5,0,5,omen,scales
(1) 14%,22,0.8,140.0,0.69,105.0,68%,0.41,0.27,0.09,0.09,9,13,6,2,2,sova,scales
(1) 14%,16,1.67,358.0,1.36,229.0,75%,1.19,0.13,0.31,0.06,19,14,2,5,1,iso,scales
(3) 43%,55,0.67,118.7,0.57,115.0,75%,0.44,0.15,0.05,0.25,24,42,8,1,5,fade,sword9
(2) 29%,50,1.29,230.5,1.17,180.0,83%,0.84,0.16,0.0,0.0,42,36,8,0,0,sova,sword9
(2) 29%,38,0.59,125.0,0.53,91.7,63%,0.42,0.37,0.05,0.13,16,30,14,2,5,omen,sword9
(1) 25%,24,0.9,163.0,0.58,118.0,75%,0.46,0.5,0.0,0.0,11,19,12,0,0,kayo,yoyo
(1) 25%,22,0.87,177.0,1.07,127.0,73%,0.68,0.32,0.05,0.05,15,14,7,1,1,viper,yoyo
(1) 25%,20,0.55,125.0,0.35,92.0,75%,0.3,0.35,0.05,0.0,6,17,7,1,0,brimstone,yoyo
