Map (#),WIN%,W,L,ATK 1st,DEF 1st,ATK RWin%,RW,RL,DEF RWin%,RW.1,RL.1,Team
Fracture (10),60%,6,4,6,4,50%,54,53,55%,54,44,TALON
Pearl (7),29%,2,5,4,3,31%,23,51,45%,29,36,TALON
Lotus (28),57%,16,12,17,11,51%,157,149,48%,135,147,TALON
Sunset (12),25%,3,9,3,9,38%,45,72,49%,69,71,TALON
Abyss (4),50%,2,2,3,1,43%,19,25,46%,18,21,TALON
Bind (33),52%,17,16,20,12,51%,173,166,54%,180,153,Rex Regum Qeon
Haven (53),58%,31,22,25,28,51%,289,279,55%,311,259,Rex Regum Qeon
Split (45),62%,28,17,23,21,48%,213,232,58%,278,201,Rex Regum Qeon
Ascent (53),47%,25,28,25,28,48%,269,292,53%,301,271,Rex Regum Qeon
Icebox (39),49%,19,20,13,26,53%,209,183,46%,199,233,Rex Regum Qeon
Breeze (14),43%,6,8,8,5,53%,73,66,44%,59,75,Rex Regum Qeon
Fracture (9),56%,5,4,2,7,48%,42,45,47%,52,59,Rex Regum Qeon
Pearl (14),43%,6,8,9,5,56%,80,62,44%,65,84,Rex Regum Qeon
Lotus (22),36%,8,14,11,11,46%,111,130,49%,109,115,Rex Regum Qeon
Sunset (14),50%,7,7,5,9,51%,74,70,49%,77,81,Rex Regum Qeon
Abyss (6),50%,3,3,4,2,53%,42,38,44%,28,35,Rex Regum Qeon
Bind (85),58%,49,36,38,43,52%,421,396,54%,485,409,T1
Haven (89),57%,51,38,33,51,56%,446,353,51%,430,412,T1
Split (56),55%,31,25,22,32,45%,253,309,60%,350,235,T1
Ascent (86),69%,59,27,39,47,54%,451,385,58%,511,377,T1
Icebox (60),70%,42,18,41,19,59%,369,252,61%,327,209,T1
Breeze (18),78%,14,4,11,7,54%,114,98,58%,108,78,T1
Fracture (25),52%,13,12,9,16,54%,142,122,50%,134,134,T1
Pearl (19),47%,9,10,6,13,47%,97,108,50%,101,103,T1
Lotus (44),50%,22,22,15,29,51%,217,210,51%,254,245,T1
Sunset (21),52%,11,10,15,6,48%,113,124,53%,118,104,T1
Abyss (3),33%,1,2,3,0,47%,17,19,37%,10,17,T1
Bind (83),63%,52,31,35,48,55%,488,398,54%,476,401,Global Esports
Haven (99),60%,59,40,47,52,55%,527,430,54%,555,466,Global Esports
Split (67),63%,42,25,38,29,53%,388,347,56%,384,299,Global Esports
Ascent (92),68%,63,29,38,54,53%,492,428,60%,610,412,Global Esports
Icebox (68),62%,42,26,40,28,60%,442,295,51%,312,302,Global Esports
Breeze (28),57%,16,12,15,13,54%,164,142,55%,170,138,Global Esports
Fracture (16),63%,10,6,11,5,62%,108,65,53%,72,63,Global Esports
Pearl (18),67%,12,6,10,8,54%,112,97,53%,105,93,Global Esports
Lotus (19),32%,6,13,13,6,47%,96,110,40%,68,102,Global Esports
Sunset (9),33%,3,6,6,3,41%,38,55,44%,36,46,Global Esports
Abyss (4),0%,0,4,1,3,29%,10,25,34%,14,27,Global Esports
Bind (26),54%,14,12,12,14,50%,138,140,50%,128,126,ZETA DIVISION
Haven (44),52%,23,21,17,27,52%,220,200,48%,228,250,ZETA DIVISION
Split (25),60%,15,10,12,13,51%,126,122,53%,134,119,ZETA DIVISION
Ascent (37),41%,15,22,16,21,49%,193,202,45%,193,235,ZETA DIVISION
Icebox (25),52%,13,12,6,19,48%,101,109,50%,143,141,ZETA DIVISION
Breeze (11),64%,7,4,4,7,63%,58,34,50%,55,54,ZETA DIVISION
Fracture (20),55%,11,9,9,11,54%,107,90,50%,106,105,ZETA DIVISION
Pearl (7),43%,3,4,5,2,45%,35,42,42%,31,42,ZETA DIVISION
Lotus (24),54%,13,11,12,12,53%,130,116,51%,125,121,ZETA DIVISION
Sunset (14),43%,6,8,8,6,47%,71,79,49%,64,66,ZETA DIVISION
Abyss (0),-,0,0,0,0,-,0,0,-,0,0,ZETA DIVISION
Bind (20),50%,10,10,12,8,47%,92,103,51%,107,103,DetonatioN FocusMe
Haven (34),32%,11,23,15,18,47%,149,171,44%,147,186,DetonatioN FocusMe
Split (21),62%,13,8,9,12,53%,109,95,58%,132,96,DetonatioN FocusMe
Ascent (48),42%,20,28,24,24,47%,239,269,51%,258,250,DetonatioN FocusMe
Icebox (13),23%,3,10,4,9,43%,51,69,43%,62,82,DetonatioN FocusMe
Breeze (10),70%,7,3,8,2,49%,54,56,67%,58,29,DetonatioN FocusMe
Fracture (9),22%,2,7,3,6,42%,39,54,49%,42,44,DetonatioN FocusMe
Pearl (11),18%,2,9,8,3,50%,61,60,33%,33,66,DetonatioN FocusMe
Lotus (23),13%,3,20,13,10,39%,90,139,34%,77,150,DetonatioN FocusMe
Sunset (10),40%,4,6,6,4,38%,41,68,49%,46,48,DetonatioN FocusMe
Abyss (8),63%,5,3,4,4,58%,46,33,44%,38,49,DetonatioN FocusMe
Bind (40),63%,25,15,23,17,58%,226,164,55%,228,184,BLEED
Haven (62),73%,45,17,44,18,57%,394,302,57%,338,254,BLEED
Split (22),59%,13,9,8,14,54%,116,98,54%,128,111,BLEED
Ascent (58),67%,39,19,39,18,53%,333,297,53%,303,265,BLEED
Icebox (42),62%,26,16,20,22,56%,262,204,51%,225,216,BLEED
Breeze (23),43%,10,13,8,15,47%,113,127,48%,131,142,BLEED
Fracture (17),53%,9,8,3,14,45%,83,102,56%,110,86,BLEED
Pearl (23),91%,21,2,17,6,59%,156,107,63%,139,81,BLEED
Lotus (17),47%,8,9,8,9,55%,95,78,43%,79,106,BLEED
Sunset (5),20%,1,4,2,3,49%,27,28,35%,18,34,BLEED
Abyss (0),-,0,0,0,0,-,0,0,-,0,0,BLEED
Bind (63),56%,35,28,30,33,53%,364,328,50%,339,334,FUT Esports
Haven (76),58%,44,32,31,45,51%,414,390,51%,403,392,FUT Esports
Split (66),59%,39,27,36,30,51%,361,351,55%,374,304,FUT Esports
Ascent (98),67%,66,32,41,57,52%,514,483,59%,609,430,FUT Esports
Icebox (69),57%,39,30,36,33,56%,431,338,50%,366,359,FUT Esports
Breeze (27),56%,15,12,15,12,53%,162,142,49%,139,142,FUT Esports
Fracture (20),45%,9,11,9,11,51%,113,107,49%,105,109,FUT Esports
Pearl (15),67%,10,5,8,7,52%,77,72,61%,104,66,FUT Esports
Lotus (43),60%,26,17,22,21,60%,277,188,46%,220,260,FUT Esports
Sunset (25),48%,12,13,14,11,55%,147,120,48%,126,134,FUT Esports
Abyss (4),25%,1,3,1,3,50%,21,21,42%,20,28,FUT Esports
Bind (23),70%,16,7,18,5,59%,161,113,49%,114,119,Karmine Corp
Haven (23),57%,13,10,17,6,47%,119,135,54%,116,98,Karmine Corp
Split (16),31%,5,11,7,8,45%,68,84,39%,56,87,Karmine Corp
Ascent (24),29%,7,17,11,13,40%,101,152,50%,129,131,Karmine Corp
Icebox (25),56%,14,11,10,15,53%,135,122,51%,141,135,Karmine Corp
Breeze (9),33%,3,6,6,3,48%,47,50,45%,35,43,Karmine Corp
Fracture (5),40%,2,3,3,2,52%,27,25,52%,24,22,Karmine Corp
Pearl (9),56%,5,4,5,4,55%,52,43,60%,53,36,Karmine Corp
Lotus (34),53%,18,16,19,15,55%,207,166,47%,169,192,Karmine Corp
Sunset (21),52%,11,10,11,10,52%,112,102,55%,130,108,Karmine Corp
Abyss (2),0%,0,2,1,1,61%,17,11,30%,8,19,Karmine Corp
Bind (39),44%,17,22,18,21,47%,189,217,52%,230,213,Team Vitality
Haven (52),48%,25,27,35,17,51%,278,269,50%,261,263,Team Vitality
Split (62),60%,37,25,35,27,52%,343,318,57%,363,274,Team Vitality
Ascent (67),63%,42,25,25,42,50%,330,331,62%,458,281,Team Vitality
Icebox (57),68%,39,18,41,16,57%,372,277,53%,303,265,Team Vitality
Breeze (34),74%,25,9,21,13,61%,217,139,55%,191,159,Team Vitality
Fracture (24),63%,15,9,17,7,55%,149,123,48%,100,107,Team Vitality
Pearl (7),43%,3,4,5,2,52%,43,40,48%,28,30,Team Vitality
Lotus (32),53%,17,15,18,14,55%,192,154,46%,159,185,Team Vitality
Sunset (20),60%,12,8,15,5,52%,116,107,55%,102,85,Team Vitality
Abyss (3),67%,2,1,3,0,70%,28,12,43%,13,17,Team Vitality
Bind (77),71%,55,22,48,29,60%,505,340,54%,409,349,FNATIC
Haven (87),67%,58,29,54,33,58%,576,411,54%,484,411,FNATIC
Split (54),67%,36,18,23,31,55%,322,266,52%,307,279,FNATIC
Ascent (64),58%,37,27,24,40,51%,336,329,56%,390,310,FNATIC
Icebox (73),74%,54,19,44,29,60%,468,309,54%,386,324,FNATIC
Breeze (18),61%,11,7,9,9,58%,109,78,49%,91,94,FNATIC
Fracture (27),70%,19,8,16,11,53%,156,138,58%,161,115,FNATIC
Pearl (6),50%,3,3,4,2,55%,33,27,52%,34,31,FNATIC
Lotus (54),70%,38,16,29,25,57%,325,243,57%,317,238,FNATIC
Sunset (15),33%,5,10,5,10,51%,82,80,44%,76,95,FNATIC
Abyss (13),38%,5,8,6,7,59%,87,60,41%,62,90,FNATIC
Bind (59),71%,42,17,28,31,59%,388,267,52%,329,298,Team Heretics
Haven (78),76%,59,19,41,36,59%,475,335,59%,442,302,Team Heretics
Split (45),58%,26,19,10,35,47%,187,212,59%,312,221,Team Heretics
Ascent (74),66%,49,25,39,35,57%,420,314,60%,443,292,Team Heretics
Icebox (61),54%,33,28,34,27,52%,342,321,53%,339,299,Team Heretics
Breeze (27),48%,13,14,22,5,52%,153,141,52%,135,124,Team Heretics
Fracture (10),20%,2,8,4,6,44%,44,56,47%,55,62,Team Heretics
Pearl (12),50%,6,6,5,7,46%,52,60,46%,60,70,Team Heretics
Lotus (42),57%,24,18,19,23,55%,247,202,43%,194,261,Team Heretics
Sunset (31),71%,22,9,15,16,53%,164,144,59%,180,127,Team Heretics
Abyss (12),33%,4,8,5,7,48%,58,64,38%,50,81,Team Heretics
Bind (35),49%,17,18,10,25,48%,172,183,53%,217,191,Natus Vincere
Haven (32),44%,14,18,13,19,47%,154,177,49%,164,169,Natus Vincere
Split (39),56%,22,17,14,25,53%,209,184,51%,230,223,Natus Vincere
Ascent (51),63%,32,19,27,24,53%,285,248,55%,291,238,Natus Vincere
Icebox (41),59%,24,17,19,22,53%,248,220,54%,249,212,Natus Vincere
Breeze (18),39%,7,11,6,12,45%,76,93,49%,95,99,Natus Vincere
Fracture (23),61%,14,9,8,15,56%,135,105,51%,129,122,Natus Vincere
Pearl (17),76%,13,4,7,10,59%,110,78,56%,104,82,Natus Vincere
Lotus (22),27%,6,16,8,14,50%,118,120,41%,99,144,Natus Vincere
Sunset (13),38%,5,8,7,6,43%,55,74,49%,63,65,Natus Vincere
Abyss (1),100%,1,0,0,1,73%,8,3,42%,5,7,Natus Vincere
Bind (55),56%,31,24,17,37,53%,293,255,50%,296,296,BBL Esports
Haven (70),70%,49,21,32,36,55%,375,307,59%,443,313,BBL Esports
Split (39),51%,20,19,14,25,54%,212,181,49%,206,216,BBL Esports
Ascent (86),63%,54,32,59,26,51%,483,463,57%,467,355,BBL Esports
Icebox (39),49%,19,20,11,28,49%,199,210,49%,230,236,BBL Esports
Breeze (12),42%,5,7,3,9,52%,62,58,48%,65,71,BBL Esports
Fracture (12),42%,5,7,5,7,48%,68,73,47%,65,72,BBL Esports
Pearl (10),50%,5,5,6,4,47%,50,56,49%,48,49,BBL Esports
Lotus (14),50%,7,7,4,10,51%,78,76,48%,80,85,BBL Esports
Sunset (14),50%,7,7,5,9,51%,77,73,49%,75,78,BBL Esports
Abyss (2),100%,2,0,0,2,67%,10,5,67%,16,8,BBL Esports
Bind (78),53%,41,37,31,47,49%,381,400,54%,479,404,Team Liquid
Haven (81),63%,51,30,37,44,56%,457,366,55%,453,376,Team Liquid
Split (76),62%,47,29,44,31,52%,422,390,55%,428,351,Team Liquid
Ascent (78),71%,55,23,34,44,55%,443,361,58%,486,350,Team Liquid
Icebox (49),57%,28,21,23,26,55%,291,241,50%,260,264,Team Liquid
Breeze (23),78%,18,5,5,18,58%,138,98,54%,147,126,Team Liquid
Fracture (24),54%,13,11,12,12,51%,124,121,51%,137,131,Team Liquid
Pearl (5),0%,0,5,2,3,28%,13,33,43%,24,32,Team Liquid
Lotus (33),52%,17,16,11,22,51%,179,169,52%,193,179,Team Liquid
Sunset (14),36%,5,9,6,8,44%,61,78,52%,74,68,Team Liquid
Abyss (8),75%,6,2,4,4,62%,54,33,54%,42,36,Team Liquid
Bind (6),33%,2,4,4,2,56%,39,31,36%,22,39,Gentle Mates
Haven (17),71%,12,5,8,9,54%,93,80,58%,105,77,Gentle Mates
Split (16),69%,11,5,9,7,53%,100,89,53%,92,81,Gentle Mates
Ascent (15),60%,9,6,4,11,41%,65,92,63%,106,63,Gentle Mates
Icebox (11),36%,4,7,6,5,43%,47,62,45%,49,60,Gentle Mates
Breeze (3),33%,1,2,2,1,47%,17,19,54%,13,11,Gentle Mates
Fracture (11),45%,5,6,6,5,43%,51,69,57%,65,50,Gentle Mates
Pearl (6),50%,3,3,2,4,45%,25,30,47%,28,32,Gentle Mates
Lotus (22),41%,9,13,13,9,47%,118,132,46%,110,127,Gentle Mates
Sunset (13),38%,5,8,4,9,50%,63,63,40%,56,85,Gentle Mates
Abyss (2),50%,1,1,0,2,73%,8,3,42%,10,14,Gentle Mates
Bind (11),36%,4,7,3,8,46%,53,61,45%,55,66,GIANTX
Haven (14),43%,6,8,8,6,47%,64,71,42%,57,78,GIANTX
Split (11),18%,2,9,6,5,35%,40,73,39%,43,68,GIANTX
Ascent (15),60%,9,6,11,4,46%,78,92,57%,90,68,GIANTX
Icebox (5),40%,2,3,3,2,52%,27,25,44%,24,30,GIANTX
Breeze (4),50%,2,2,2,2,45%,17,21,49%,20,21,GIANTX
Fracture (3),67%,2,1,2,1,55%,18,15,48%,16,17,GIANTX
Pearl (4),0%,0,4,1,3,33%,12,24,38%,17,28,GIANTX
Lotus (19),47%,9,10,8,11,50%,101,100,45%,92,114,GIANTX
Sunset (18),61%,11,7,7,11,48%,87,93,51%,104,100,GIANTX
Abyss (0),-,0,0,0,0,-,0,0,-,0,0,GIANTX
Bind (27),52%,14,13,15,12,54%,158,132,53%,143,128,KOI
Haven (22),32%,7,15,8,14,46%,111,128,49%,116,119,KOI
Split (17),59%,10,7,7,10,55%,96,79,52%,98,92,KOI
Ascent (34),50%,17,17,12,22,46%,152,177,59%,224,156,KOI
Icebox (31),45%,14,17,15,16,50%,161,163,46%,153,183,KOI
Breeze (16),44%,7,9,6,10,45%,74,90,51%,82,78,KOI
