Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(75) 11%,1522,0.96,201.7,0.99,129.3,71%,0.72,0.28,0.1,0.12,1094,1100,423,156,187,skye,virtyy
(69) 10%,1455,1.13,238.0,1.14,150.5,70%,0.83,0.16,0.23,0.18,1208,1063,230,332,255,jett,virtyy
(52) 8%,1075,1.03,202.7,1.06,128.3,75%,0.73,0.35,0.07,0.08,786,740,375,78,82,breach,virtyy
(44) 7%,925,1.01,243.3,1.04,152.7,65%,0.83,0.2,0.19,0.19,771,738,183,176,177,reyna,virtyy
(30) 5%,620,0.97,235.8,1.04,147.4,69%,0.81,0.22,0.22,0.22,504,485,138,138,139,neon,virtyy
(25) 4%,503,0.95,194.2,0.97,128.1,70%,0.67,0.29,0.08,0.12,338,349,148,42,58,sage,virtyy
(25) 4%,481,1.15,229.2,1.34,142.2,74%,0.84,0.12,0.21,0.15,403,300,60,103,70,chamber,virtyy
(17) 3%,316,1.25,266.2,1.41,163.7,79%,0.94,0.28,0.27,0.16,297,211,87,86,52,yoru,virtyy
(15) 2%,280,0.82,236.4,1.07,149.0,57%,0.82,0.28,0.17,0.19,230,214,77,48,54,phoenix,virtyy
(12) 2%,273,0.89,194.9,0.84,129.8,70%,0.63,0.34,0.08,0.13,173,206,93,23,35,sova,virtyy
(8) 1%,171,1.11,238.3,1.21,148.5,70%,0.82,0.28,0.19,0.12,141,117,48,33,20,viper,virtyy
(8) 1%,152,1.0,188.3,0.99,116.2,78%,0.64,0.49,0.09,0.07,98,99,74,14,10,fade,virtyy
(1) 0%,22,1.19,280.0,1.44,188.6,64%,1.05,0.18,0.14,0.18,23,16,4,3,4,killjoy,virtyy
(1) 0%,18,1.29,203.0,1.6,141.6,83%,0.89,0.22,0.0,0.0,16,10,4,0,0,cypher,virtyy
(1) 0%,16,1.68,316.0,2.11,196.8,88%,1.19,0.13,0.38,0.06,19,9,2,6,1,waylay,virtyy
(112) 31%,2283,1.06,199.3,1.13,129.6,74%,0.72,0.32,0.09,0.07,1654,1469,727,200,166,omen,pancada
(88) 24%,1856,1.14,207.3,1.21,135.7,77%,0.75,0.32,0.06,0.05,1389,1147,602,115,95,astra,pancada
(57) 16%,1149,1.13,202.4,1.27,137.6,78%,0.73,0.32,0.09,0.06,838,662,364,99,55,sage,pancada
(29) 8%,582,1.15,202.7,1.14,135.0,77%,0.71,0.43,0.07,0.06,414,362,249,42,36,brimstone,pancada
(25) 7%,536,1.09,194.7,1.18,133.6,72%,0.71,0.21,0.05,0.05,378,320,115,25,27,viper,pancada
(20) 6%,414,,253.1,1.29,160.4,,0.87,0.22,0.13,0.09,360,280,92,52,37,raze,pancada
(18) 5%,377,0.91,171.9,0.86,121.1,70%,0.57,0.19,0.04,0.06,216,250,70,16,22,killjoy,pancada
(8) 2%,159,0.7,262.1,1.55,156.2,57%,0.92,0.23,0.13,0.06,146,94,36,20,9,reyna,pancada
(2) 1%,52,1.04,205.5,1.24,131.1,71%,0.81,0.06,0.08,0.1,42,34,3,4,5,chamber,pancada
(2) 1%,39,1.23,181.0,1.53,123.2,77%,0.74,0.23,0.13,0.05,29,19,9,5,2,cypher,pancada
(1) 0%,21,,202.0,0.79,129.3,,0.71,0.14,0.19,0.1,15,19,3,4,2,jett,pancada
(92) 35%,1936,1.14,219.2,1.14,144.7,75%,0.76,0.3,0.09,0.07,1469,1283,575,183,137,sova,cauanzin
(66) 25%,1365,1.01,207.0,1.01,132.0,74%,0.72,0.38,0.12,0.1,981,968,517,158,132,skye,cauanzin
(34) 13%,711,0.98,197.1,0.94,123.8,73%,0.7,0.36,0.1,0.08,496,525,253,72,55,breach,cauanzin
(22) 8%,473,0.95,204.4,0.89,130.5,69%,0.67,0.4,0.07,0.1,315,354,190,34,48,kayo,cauanzin
(16) 6%,364,1.02,210.6,1.01,135.0,71%,0.73,0.35,0.11,0.08,265,262,127,39,30,fade,cauanzin
(13) 5%,291,0.96,185.8,0.92,126.3,68%,0.63,0.24,0.05,0.12,182,198,69,16,34,tejo,cauanzin
(11) 4%,227,1.04,195.5,1.06,123.2,77%,0.67,0.37,0.07,0.09,151,143,83,17,21,sage,cauanzin
(3) 1%,71,1.43,360.0,1.44,226.3,80%,1.15,0.28,0.27,0.11,82,57,20,19,8,reyna,cauanzin
(3) 1%,65,0.94,205.7,0.9,129.6,74%,0.69,0.26,0.09,0.14,45,50,17,6,9,gekko,cauanzin
(2) 1%,48,0.97,211.5,1.06,135.8,69%,0.77,0.21,0.08,0.04,37,35,10,4,2,vyse,cauanzin
(145) 54%,2960,1.15,200.3,1.18,135.8,76%,0.7,0.32,0.07,0.06,2079,1768,961,212,169,sova,robbiebk
(41) 15%,876,0.98,186.3,0.95,121.5,70%,0.66,0.34,0.07,0.08,581,609,295,60,66,skye,robbiebk
(39) 14%,798,1.1,196.7,1.08,129.5,75%,0.7,0.39,0.07,0.05,558,515,314,56,36,fade,robbiebk
(15) 6%,288,0.93,157.4,0.84,110.1,72%,0.58,0.32,0.04,0.06,166,197,91,12,18,breach,robbiebk
(10) 4%,208,1.05,195.1,1.0,126.7,73%,0.67,0.4,0.11,0.1,140,140,84,23,21,sage,robbiebk
(8) 3%,157,,167.0,0.8,118.4,,0.58,0.27,0.04,0.06,91,114,43,7,9,omen,robbiebk
(3) 1%,74,0.95,205.3,1.0,145.7,66%,0.72,0.11,0.08,0.05,53,53,8,6,4,killjoy,robbiebk
(3) 1%,66,0.85,195.0,0.88,124.0,68%,0.7,0.26,0.09,0.09,46,52,17,6,6,gekko,robbiebk
(1) 0%,23,1.3,267.0,1.64,191.3,74%,1.0,0.22,0.13,0.17,23,14,5,3,4,reyna,robbiebk
(1) 0%,20,0.43,135.0,0.39,111.6,55%,0.35,0.2,0.0,0.05,7,18,4,0,1,tejo,robbiebk
(1) 0%,18,0.92,164.0,0.71,119.3,78%,0.56,0.44,0.06,0.06,10,14,8,1,1,brimstone,robbiebk
(1) 0%,17,1.41,308.0,1.27,182.9,76%,1.12,0.12,0.24,0.06,19,15,2,4,1,raze,robbiebk
(1) 0%,15,0.8,183.0,0.64,113.6,73%,0.6,0.27,0.0,0.07,9,14,4,0,1,kayo,robbiebk
(184) 56%,3860,1.17,254.0,1.32,156.0,71%,0.92,0.13,0.18,0.13,3568,2705,520,713,507,jett,heat
(32) 10%,676,1.19,230.4,1.28,150.7,71%,0.85,0.12,0.13,0.12,573,447,81,91,78,chamber,heat
(21) 6%,458,1.03,200.3,1.0,132.4,71%,0.72,0.43,0.08,0.11,330,330,196,35,51,kayo,heat
(19) 6%,378,0.95,179.6,0.9,123.2,66%,0.63,0.18,0.06,0.1,237,263,67,22,37,viper,heat
(16) 5%,308,0.96,196.8,0.98,134.6,65%,0.71,0.12,0.09,0.1,219,224,38,29,31,cypher,heat
(12) 4%,262,1.04,236.6,1.07,156.5,71%,0.82,0.17,0.18,0.17,214,200,44,46,44,raze,heat
(11) 3%,228,1.21,215.3,1.28,138.0,82%,0.84,0.29,0.07,0.05,192,150,65,17,12,fade,heat
(7) 2%,141,1.06,173.9,1.04,115.3,75%,0.66,0.41,0.04,0.06,93,89,58,5,8,breach,heat
(6) 2%,127,0.98,176.0,0.98,116.2,73%,0.66,0.33,0.06,0.09,84,86,42,8,12,skye,heat
(5) 2%,95,1.07,202.0,1.13,133.1,72%,0.75,0.18,0.08,0.11,71,63,17,8,10,gekko,heat
(5) 2%,91,0.95,193.6,0.88,131.8,63%,0.69,0.16,0.05,0.08,63,72,15,5,7,vyse,heat
(3) 1%,76,0.84,177.3,0.96,121.6,64%,0.68,0.22,0.09,0.08,52,54,17,7,6,clove,heat
(3) 1%,69,0.82,203.7,0.86,133.3,57%,0.7,0.14,0.19,0.19,48,56,10,13,13,neon,heat
(3) 1%,64,1.03,203.7,1.06,155.9,69%,0.78,0.13,0.09,0.05,50,47,8,6,3,killjoy,heat
(1) 0%,19,0.82,174.0,0.8,121.2,68%,0.63,0.21,0.05,0.05,12,15,4,1,1,sova,heat
(42) 29%,855,1.24,204.3,1.3,131.6,80%,0.74,0.49,0.04,0.04,630,484,419,32,37,breach,basic
(24) 17%,540,1.11,205.6,1.04,136.4,79%,0.7,0.52,0.06,0.06,377,362,281,32,32,kayo,basic
(17) 12%,340,1.17,192.9,1.21,126.6,79%,0.72,0.39,0.06,0.06,244,201,132,21,21,omen,basic
(12) 8%,230,1.25,255.3,1.39,162.8,71%,0.91,0.13,0.13,0.11,210,151,31,31,26,jett,basic
(11) 8%,214,1.56,313.4,1.87,198.4,80%,1.11,0.22,0.19,0.12,238,127,47,41,26,raze,basic
(8) 6%,163,1.02,178.0,1.03,126.9,71%,0.64,0.15,0.04,0.04,105,102,24,6,7,sova,basic
(7) 5%,153,1.0,176.6,1.06,115.5,69%,0.65,0.27,0.04,0.07,100,94,41,6,11,deadlock,basic
(7) 5%,148,1.32,234.7,1.5,146.0,79%,0.83,0.26,0.12,0.07,123,82,38,18,10,yoru,basic
(5) 3%,94,1.16,200.0,1.27,133.0,76%,0.7,0.38,0.04,0.06,66,52,36,4,6,brimstone,basic
(3) 2%,57,1.3,223.3,1.59,135.0,79%,0.81,0.18,0.07,0.07,46,29,10,4,4,astra,basic
(2) 1%,51,1.01,185.0,1.13,135.1,73%,0.69,0.22,0.06,0.06,35,31,11,3,3,sage,basic
(2) 1%,49,1.04,175.5,0.97,125.8,78%,0.61,0.31,0.1,0.04,30,31,15,5,2,skye,basic
(2) 1%,35,1.77,292.5,3.0,188.7,86%,1.11,0.14,0.11,0.06,39,13,5,4,2,cypher,basic
(1) 1%,24,1.17,278.0,1.26,200.8,58%,1.0,0.04,0.04,0.13,24,19,1,1,3,iso,basic
(1) 1%,22,1.0,194.0,1.0,121.0,68%,0.68,0.27,0.0,0.05,15,15,6,0,1,harbor,basic
(1) 1%,19,0.8,169.0,0.73,121.4,58%,0.58,0.21,0.0,0.11,11,15,4,0,2,killjoy,basic
(80) 29%,1704,1.08,192.8,1.09,125.2,75%,0.7,0.38,0.08,0.07,1191,1088,645,137,126,omen,xenom
(62) 22%,1272,1.12,227.4,1.23,145.7,70%,0.83,0.11,0.17,0.12,1051,852,136,221,149,chamber,xenom
(38) 14%,831,1.13,241.2,1.24,152.7,71%,0.86,0.14,0.24,0.16,716,578,114,199,133,jett,xenom
(34) 12%,739,0.95,183.5,0.98,123.5,67%,0.66,0.22,0.06,0.07,490,501,161,45,55,viper,xenom
(26) 9%,586,1.07,171.7,1.1,110.5,79%,0.63,0.43,0.06,0.05,370,335,253,33,30,astra,xenom
(23) 8%,509,0.87,206.7,0.88,139.4,69%,0.68,0.2,0.14,0.16,345,394,102,69,83,raze,xenom
(14) 5%,300,0.92,172.1,0.93,114.5,73%,0.62,0.37,0.05,0.06,186,200,111,15,18,brimstone,xenom
(1) 0%,14,0.32,128.0,0.36,87.7,36%,0.36,0.14,0.14,0.36,5,14,2,2,5,neon,xenom
(352) 56%,7298,1.23,216.7,1.35,144.7,77%,0.77,0.32,0.06,0.04,5643,4192,2307,446,294,sova,verno
(41) 7%,834,1.1,203.5,1.17,130.5,75%,0.74,0.32,0.06,0.06,618,526,269,51,47,skye,verno
(40) 6%,827,1.23,225.8,1.46,144.2,72%,0.86,0.11,0.14,0.07,713,489,90,115,54,chamber,verno
(37) 6%,742,1.2,211.1,1.31,132.9,76%,0.77,0.33,0.06,0.06,568,432,248,48,41,fade,verno
(35) 6%,705,1.13,199.3,1.19,127.6,77%,0.72,0.42,0.06,0.06,511,428,293,45,39,sage,verno
(25) 4%,517,1.16,200.4,1.24,132.4,78%,0.75,0.32,0.05,0.04,389,313,166,28,22,gekko,verno
(23) 4%,461,1.12,192.9,1.15,129.6,77%,0.71,0.51,0.08,0.05,329,287,234,36,25,kayo,verno
(18) 3%,408,1.16,202.4,1.22,136.2,76%,0.72,0.26,0.05,0.04,294,241,108,19,18,tejo,verno
(14) 2%,300,1.21,197.5,1.26,129.4,76%,0.72,0.42,0.04,0.04,215,170,127,11,13,breach,verno
(14) 2%,298,1.39,244.9,1.7,161.4,82%,0.85,0.2,0.1,0.06,253,149,60,30,17,killjoy,verno
(10) 2%,203,1.06,182.4,1.12,115.2,74%,0.7,0.27,0.09,0.04,142,127,55,19,8,astra,verno
(6) 1%,131,1.28,237.0,1.33,146.6,76%,0.86,0.31,0.11,0.04,113,85,41,15,5,cypher,verno
(4) 1%,81,1.17,207.5,1.28,137.6,86%,0.74,0.36,0.11,0.06,60,47,29,9,5,viper,verno
(3) 0%,60,1.13,232.7,1.12,148.5,73%,0.8,0.17,0.18,0.03,48,43,10,11,2,jett,verno
(2) 0%,68,1.23,234.5,1.28,163.0,81%,0.75,0.53,0.07,0.07,51,40,36,5,5,brimstone,verno
(2) 0%,48,1.05,183.5,1.21,122.4,83%,0.73,0.17,0.06,0.02,35,29,8,3,1,vyse,verno
(2) 0%,45,1.14,239.0,1.12,153.0,80%,0.82,0.29,0.16,0.16,37,33,13,7,7,yoru,verno
(1) 0%,24,0.89,185.0,0.89,123.1,71%,0.67,0.25,0.04,0.17,16,18,6,1,4,reyna,verno
(1) 0%,19,1.14,154.0,1.5,95.9,74%,0.63,0.26,0.05,0.16,12,8,5,1,3,harbor,verno
(226) 51%,4749,1.26,249.8,1.45,158.8,75%,0.91,0.15,0.19,0.11,4303,2977,726,891,534,jett,aspas
(112) 26%,2332,1.19,247.0,1.25,164.2,76%,0.87,0.2,0.16,0.11,2018,1614,456,366,260,raze,aspas
(58) 13%,1212,1.27,265.2,1.39,165.6,73%,0.94,0.22,0.14,0.1,1135,819,261,173,117,reyna,aspas
(29) 7%,644,1.18,246.8,1.24,159.2,75%,0.86,0.23,0.2,0.13,552,444,149,126,82,neon,aspas
(6) 1%,144,1.16,230.2,1.44,142.0,72%,0.87,0.1,0.17,0.13,125,87,15,24,18,waylay,aspas
(6) 1%,121,1.29,273.2,1.43,172.5,73%,0.94,0.17,0.21,0.14,114,80,21,26,17,chamber,aspas
(1) 0%,22,0.72,150.0,0.67,102.7,64%,0.45,0.14,0.18,0.14,10,15,3,4,3,yoru,aspas
(1) 0%,20,0.79,194.0,0.86,127.4,75%,0.6,0.25,0.0,0.05,12,14,5,0,1,phoenix,aspas
(202) 61%,4226,1.14,216.3,1.29,140.8,76%,0.76,0.34,0.05,0.04,3192,2480,1452,230,155,sova,nzr
(50) 15%,1052,1.06,187.5,1.06,122.5,76%,0.67,0.39,0.05,0.05,701,659,407,52,57,skye,nzr
(27) 8%,545,1.06,261.9,1.43,167.5,77%,0.9,0.21,0.13,0.12,489,343,115,72,61,raze,nzr
(18) 5%,367,0.93,171.1,0.91,112.3,74%,0.6,0.22,0.05,0.05,221,244,80,18,20,fade,nzr
(12) 4%,249,1.06,186.9,1.03,124.6,75%,0.68,0.37,0.02,0.03,170,165,93,6,8,breach,nzr
(9) 3%,173,0.99,199.2,0.94,127.4,71%,0.69,0.26,0.08,0.06,120,128,45,14,10,kayo,nzr
(4) 1%,99,1.27,268.3,1.42,182.6,81%,0.96,0.14,0.13,0.1,95,67,14,13,10,killjoy,nzr
(4) 1%,84,1.22,218.8,1.33,144.1,79%,0.77,0.26,0.06,0.11,65,49,22,5,9,viper,nzr
(2) 1%,46,1.48,281.0,1.66,175.3,85%,1.04,0.3,0.09,0.04,48,29,14,4,2,sage,nzr
(1) 0%,18,1.08,261.0,0.94,185.7,78%,0.89,0.11,0.06,0.06,16,17,2,1,1,gekko,nzr
(152) 63%,3229,1.07,195.1,1.09,125.3,76%,0.71,0.42,0.08,0.07,2294,2108,1351,241,219,omen,karon
(29) 12%,604,1.15,203.9,1.21,132.4,75%,0.74,0.38,0.07,0.04,447,368,230,41,25,astra,karon
(22) 9%,491,1.2,206.5,1.2,134.4,76%,0.73,0.45,0.07,0.06,360,300,219,33,28,brimstone,karon
(20) 8%,440,1.01,190.3,0.96,129.7,74%,0.65,0.33,0.09,0.07,287,299,145,39,30,viper,karon
(6) 3%,137,1.08,238.7,1.16,154.4,72%,0.86,0.15,0.15,0.18,118,102,20,21,24,jett,karon
(6) 3%,119,1.34,311.2,1.49,185.5,74%,1.03,0.21,0.15,0.09,122,82,25,18,11,killjoy,karon
(2) 1%,32,1.13,242.0,1.09,157.7,69%,0.78,0.28,0.13,0.03,25,23,9,4,1,cypher,karon
(1) 0%,30,1.39,267.0,1.45,160.4,77%,0.97,0.23,0.23,0.07,29,20,7,7,2,sage,karon
(1) 0%,22,1.18,259.0,1.13,173.5,77%,0.77,0.27,0.05,0.18,17,15,6,1,4,raze,karon
(1) 0%,18,1.77,337.0,2.1,224.6,78%,1.17,0.33,0.06,0.17,21,10,6,1,3,phoenix,karon
(53) 28%,1128,1.1,236.1,1.16,153.4,70%,0.84,0.15,0.19,0.16,943,816,170,210,182,jett,ash
(36) 19%,794,1.18,247.6,1.21,160.8,75%,0.84,0.22,0.18,0.14,667,552,173,142,108,raze,ash
(35) 19%,730,0.98,168.6,1.02,118.4,74%,0.61,0.25,0.05,0.04,446,438,182,35,27,sova,ash
(19) 10%,403,0.99,176.2,0.99,118.3,72%,0.61,0.23,0.06,0.05,246,248,92,24,21,tejo,ash
(15) 8%,309,1.06,183.2,1.11,118.9,75%,0.67,0.26,0.06,0.05,208,187,81,19,16,fade,ash
(13) 7%,271,1.02,220.1,1.06,138.6,75%,0.76,0.25,0.13,0.11,206,194,69,34,30,yoru,ash
(11) 6%,215,1.2,256.8,1.27,164.1,73%,0.89,0.26,0.18,0.17,192,151,55,38,36,neon,ash
(2) 1%,56,1.24,223.5,1.16,139.6,86%,0.77,0.61,0.05,0.02,43,37,34,3,1,breach,ash
(1) 1%,20,0.7,162.0,0.8,106.7,65%,0.6,0.05,0.15,0.2,12,15,1,3,4,killjoy,ash
(1) 1%,19,0.56,136.0,0.5,87.3,63%,0.42,0.32,0.11,0.16,8,16,6,2,3,iso,ash
(224) 56%,4704,1.15,248.4,1.25,155.3,71%,0.89,0.15,0.19,0.15,4175,3335,723,887,715,jett,t3xture
(101) 25%,2191,1.05,236.0,1.13,152.4,71%,0.82,0.18,0.17,0.15,1800,1587,389,374,330,raze,t3xture
(41) 10%,865,1.12,237.2,1.18,152.0,71%,0.84,0.21,0.18,0.16,724,612,179,136,125,neon,t3xture
(10) 3%,217,1.21,228.5,1.28,152.6,72%,0.83,0.13,0.1,0.07,180,141,29,22,15,killjoy,t3xture
(7) 2%,142,1.11,240.6,1.12,149.5,65%,0.84,0.12,0.17,0.12,119,106,17,24,17,chamber,t3xture
(4) 1%,86,1.2,262.3,1.34,160.5,73%,0.92,0.23,0.2,0.17,79,59,20,17,15,yoru,t3xture
(4) 1%,85,1.38,295.5,1.58,168.2,73%,1.06,0.28,0.19,0.07,90,57,24,16,6,reyna,t3xture
(2) 1%,47,1.01,241.0,1.54,138.0,65%,0.91,0.21,0.15,0.02,43,28,10,7,1,phoenix,t3xture
(2) 1%,38,0.98,175.5,0.85,113.5,71%,0.58,0.39,0.11,0.11,22,26,15,4,4,sage,t3xture
(1) 0%,28,1.06,233.0,0.95,159.2,68%,0.71,0.39,0.04,0.07,20,21,11,1,2,sova,t3xture
(1) 0%,24,0.9,160.0,0.88,105.5,58%,0.63,0.21,0.08,0.17,15,17,5,2,4,omen,t3xture
(1) 0%,19,1.46,316.0,1.69,178.5,84%,1.16,0.21,0.16,0.0,22,13,4,3,0,iso,t3xture
(71) 27%,1454,1.02,201.5,1.12,133.0,71%,0.72,0.14,0.1,0.09,1041,932,208,131,118,killjoy,foxy9
(68) 26%,1373,1.11,252.3,1.21,155.5,71%,0.89,0.16,0.24,0.18,1218,1010,215,325,243,jett,foxy9
(26) 10%,569,0.94,171.6,0.96,113.8,71%,0.63,0.24,0.07,0.09,357,371,139,38,46,cypher,foxy9
(22) 8%,463,0.98,224.6,0.99,147.9,69%,0.75,0.18,0.16,0.18,349,352,84,73,83,raze,foxy9
(15) 6%,301,0.93,186.6,0.87,122.0,76%,0.61,0.48,0.06,0.08,185,212,145,17,24,kayo,foxy9
(12) 5%,253,0.86,155.8,0.78,100.3,71%,0.55,0.46,0.05,0.06,140,180,117,13,16,breach,foxy9
(11) 4%,255,0.92,187.8,0.93,124.5,70%,0.67,0.24,0.09,0.09,171,184,60,23,23,gekko,foxy9
(10) 4%,215,0.89,183.9,1.01,110.6,72%,0.71,0.19,0.08,0.08,152,150,40,18,17,deadlock,foxy9
(6) 2%,135,0.82,198.5,0.88,124.4,65%,0.67,0.21,0.11,0.12,91,104,28,12,13,yoru,foxy9
(5) 2%,114,0.97,205.0,1.01,129.7,73%,0.72,0.23,0.11,0.12,82,81,26,13,14,viper,foxy9
(5) 2%,96,1.12,215.6,1.23,138.9,78%,0.78,0.23,0.08,0.03,75,61,22,8,3,vyse,foxy9
(4) 2%,82,1.12,223.3,1.14,152.4,76%,0.8,0.33,0.09,0.09,66,58,27,7,7,sage,foxy9
(4) 2%,71,0.87,161.8,0.98,116.6,63%,0.63,0.15,0.14,0.15,45,46,11,10,11,chamber,foxy9
(2) 1%,47,,173.5,0.68,,,0.55,0.47,,,26,38,22,0,0,astra,foxy9
(1) 0%,22,1.43,256.0,1.67,166.0,77%,0.91,0.14,0.09,0.14,20,12,3,2,3,reyna,foxy9
(1) 0%,19,0.46,125.0,0.5,71.9,68%,0.42,0.26,0.11,0.16,8,16,5,2,3,skye,foxy9
(1) 0%,19,0.65,76.0,0.5,43.3,58%,0.32,0.26,0.0,0.21,6,12,5,0,4,brimstone,foxy9
(56) 44%,1143,0.97,168.8,0.9,104.3,70%,0.59,0.41,0.06,0.08,670,742,465,71,96,breach,solo
(47) 37%,993,0.93,199.2,0.96,130.9,68%,0.66,0.22,0.1,0.12,656,680,223,104,117,killjoy,solo
(20) 16%,413,1.03,219.1,1.05,134.0,74%,0.74,0.22,0.13,0.14,306,291,89,55,58,cypher,solo
(3) 2%,57,1.03,246.3,1.18,139.8,70%,0.81,0.23,0.12,0.07,46,39,13,7,4,sage,solo
(1) 1%,19,1.51,226.0,2.14,142.4,74%,0.79,0.32,0.05,0.05,15,7,6,1,1,sova,solo
(68) 21%,1508,0.96,187.5,0.95,122.9,73%,0.65,0.33,0.06,0.07,986,1035,502,96,100,fade,patmen
(36) 11%,750,1.11,232.3,1.19,162.1,72%,0.83,0.18,0.11,0.09,625,525,134,83,69,killjoy,patmen
(33) 10%,707,1.08,226.4,1.09,149.2,74%,0.77,0.28,0.08,0.05,545,501,195,59,37,sova,patmen
(33) 10%,705,1.01,207.7,1.05,136.6,70%,0.73,0.2,0.11,0.11,518,494,142,76,78,viper,patmen
(32) 10%,657,1.23,281.6,1.32,180.8,76%,1.0,0.21,0.24,0.18,655,495,137,160,117,raze,patmen
(22) 7%,451,1.17,234.7,1.12,155.5,77%,0.8,0.49,0.09,0.06,362,323,222,41,26,kayo,patmen
(20) 6%,401,1.11,225.1,1.16,144.8,75%,0.81,0.36,0.1,0.11,326,280,143,39,46,skye,patmen
(18) 6%,348,1.13,258.6,1.14,171.5,73%,0.9,0.26,0.23,0.23,312,273,89,79,80,neon,patmen
(15) 5%,289,1.12,210.5,1.12,133.6,73%,0.76,0.46,0.06,0.05,219,195,134,18,14,breach,patmen
(8) 3%,183,1.07,225.3,1.05,148.6,77%,0.8,0.48,0.1,0.11,146,139,87,19,20,omen,patmen
(8) 3%,162,1.15,255.5,1.28,165.5,75%,0.93,0.15,0.15,0.06,150,117,24,24,10,cypher,patmen
(6) 2%,124,1.11,231.0,1.17,152.5,70%,0.85,0.2,0.16,0.1,105,90,25,20,13,yoru,patmen
(5) 2%,116,1.0,206.8,0.91,133.2,75%,0.7,0.43,0.02,0.05,81,89,50,2,6,astra,patmen
(5) 2%,105,1.11,215.8,1.03,148.4,72%,0.73,0.46,0.13,0.11,77,75,48,14,12,sage,patmen
(3) 1%,66,1.19,252.0,1.18,166.9,76%,0.89,0.36,0.06,0.14,59,50,24,4,9,brimstone,patmen
(2) 1%,45,0.87,188.0,0.89,121.2,64%,0.71,0.22,0.07,0.07,32,36,10,3,3,gekko,patmen
(1) 0%,28,0.81,178.0,0.86,127.0,71%,0.64,0.18,0.11,0.07,18,21,5,3,2,chamber,patmen
(1) 0%,21,0.68,143.0,0.71,76.3,67%,0.57,0.14,0.1,0.24,12,17,3,2,5,jett,patmen
(1) 0%,15,1.09,236.0,0.85,157.8,73%,0.73,0.2,0.07,0.07,11,13,3,1,1,reyna,patmen
(323) 61%,6724,1.12,254.3,1.2,163.7,74%,0.86,0.23,0.15,0.12,5783,4820,1521,983,778,raze,jinggg
(54) 10%,1092,1.25,272.9,1.34,169.9,75%,0.95,0.22,0.17,0.1,1038,775,241,173,105,reyna,jinggg
(43) 8%,898,1.09,219.2,1.13,141.1,75%,0.77,0.37,0.11,0.1,693,615,335,99,90,sage,jinggg
(26) 5%,556,0.99,188.6,1.01,125.6,73%,0.68,0.36,0.09,0.07,376,374,202,50,39,omen,jinggg
(25) 5%,541,1.1,228.8,1.18,151.4,75%,0.79,0.33,0.12,0.11,429,363,180,54,50,phoenix,jinggg
(21) 4%,432,1.16,256.2,1.22,154.6,70%,0.88,0.15,0.19,0.16,382,314,63,83,69,jett,jinggg
(7) 1%,152,1.25,226.6,1.28,168.6,78%,0.84,0.33,0.1,0.07,127,99,50,6,4,deadlock,jinggg
(6) 1%,115,1.07,241.0,1.28,149.3,68%,0.89,0.12,0.13,0.1,102,80,14,15,11,chamber,jinggg
(5) 1%,108,1.05,260.0,1.12,164.5,76%,0.86,0.31,0.27,0.22,93,83,34,29,24,neon,jinggg
(4) 1%,84,0.71,149.5,0.62,107.1,67%,0.46,0.44,0.04,0.06,39,63,37,3,5,kayo,jinggg
(3) 1%,57,0.77,216.3,0.75,146.6,67%,0.75,0.42,0.12,0.07,43,57,24,7,4,clove,jinggg
(3) 1%,57,,178.0,0.94,,,0.6,0.16,,,34,36,9,0,0,killjoy,jinggg
(2) 0%,41,1.7,329.0,1.68,212.4,90%,1.15,0.61,0.17,0.02,47,28,25,7,1,brimstone,jinggg
(2) 0%,40,0.98,197.0,0.9,130.0,63%,0.7,0.33,0.05,0.05,28,31,13,2,2,tejo,jinggg
(2) 0%,38,0.75,186.0,1.0,110.0,70%,0.63,0.24,0.09,0.09,24,24,9,2,2,cypher,jinggg
(1) 0%,21,0.82,219.0,1.06,140.1,71%,0.81,0.14,0.19,0.1,17,16,3,4,2,iso,jinggg
(1) 0%,16,0.85,189.0,0.82,120.6,75%,0.56,0.44,0.19,0.0,9,11,7,3,0,breach,jinggg
(117) 19%,2352,1.21,276.3,1.33,170.3,74%,0.96,0.18,0.24,0.16,2263,1707,425,554,382,jett,f0rsaken
(47) 8%,992,1.13,262.2,1.2,167.7,75%,0.88,0.26,0.16,0.13,870,722,253,162,129,raze,f0rsaken
(46) 8%,1029,1.13,217.8,1.15,139.9,76%,0.78,0.42,0.11,0.11,805,703,431,112,109,omen,f0rsaken
(42) 7%,851,1.21,246.2,1.36,161.1,75%,0.86,0.28,0.09,0.07,735,541,240,69,56,sova,f0rsaken
(39) 6%,806,1.09,261.7,1.17,164.6,72%,0.9,0.24,0.23,0.18,723,620,197,149,116,neon,f0rsaken
(37) 6%,733,1.05,248.9,1.12,155.7,68%,0.87,0.19,0.16,0.17,640,569,138,117,124,yoru,f0rsaken
(36) 6%,741,1.19,226.7,1.18,148.7,79%,0.81,0.56,0.1,0.1,600,508,413,73,72,kayo,f0rsaken
(35) 6%,754,1.1,210.9,1.06,140.3,78%,0.73,0.42,0.14,0.09,551,522,318,73,48,skye,f0rsaken
(33) 5%,668,1.02,215.9,1.07,139.6,79%,0.77,0.4,0.09,0.08,514,482,264,58,56,breach,f0rsaken
