Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(10) 1%,192,0.79,221.9,1.12,145.6,66%,0.77,0.25,0.07,0.06,147,131,48,13,11,killjoy,brawk
(8) 1%,140,1.07,189.9,1.18,123.2,77%,0.66,0.29,0.07,0.05,92,78,41,10,7,viper,brawk
(5) 1%,96,1.1,205.0,1.28,114.3,71%,0.76,0.29,0.06,0.1,73,57,28,6,10,cypher,brawk
(4) 1%,83,1.19,253.0,1.2,172.5,64%,0.94,0.22,0.07,0.1,78,65,18,6,8,reyna,brawk
(1) 0%,23,0.51,116.0,0.53,83.0,61%,0.43,0.17,0.04,0.04,10,19,4,1,1,yoru,brawk
(1) 0%,16,,123.0,0.43,63.1,,0.38,0.19,0.0,0.06,6,14,3,0,1,phoenix,brawk
(1) 0%,15,1.68,369.0,2.11,220.7,87%,1.27,0.53,0.0,0.0,19,9,8,0,0,omen,brawk
(214) 32%,4456,1.15,257.8,1.19,166.4,74%,0.86,0.22,0.19,0.17,3852,3237,1001,862,765,raze,mada
(142) 21%,2956,1.11,243.4,1.22,152.9,72%,0.86,0.16,0.22,0.17,2552,2090,485,662,504,jett,mada
(51) 8%,1090,0.98,220.3,1.03,141.0,69%,0.76,0.23,0.18,0.19,827,802,247,191,209,neon,mada
(50) 8%,992,1.09,216.7,1.15,135.0,74%,0.77,0.39,0.12,0.11,762,662,382,116,111,skye,mada
(39) 6%,822,1.0,208.3,0.96,133.1,73%,0.71,0.48,0.09,0.11,582,606,397,77,94,kayo,mada
(39) 6%,785,1.17,262.2,1.33,168.1,74%,0.92,0.21,0.19,0.12,726,546,167,151,98,reyna,mada
(37) 6%,774,0.86,177.4,0.88,121.2,70%,0.6,0.3,0.08,0.08,464,530,231,64,61,sova,mada
(28) 4%,557,0.99,224.4,0.98,139.5,73%,0.74,0.26,0.15,0.14,413,423,145,82,79,phoenix,mada
(17) 3%,348,1.03,204.6,1.11,140.5,72%,0.73,0.18,0.08,0.12,254,229,63,29,41,killjoy,mada
(12) 2%,265,1.04,212.8,1.11,138.8,71%,0.74,0.21,0.17,0.17,197,178,55,45,45,yoru,mada
(12) 2%,261,1.11,233.7,1.26,151.1,71%,0.83,0.2,0.21,0.19,216,171,51,56,50,waylay,mada
(8) 1%,171,1.26,237.4,1.36,157.0,75%,0.87,0.32,0.11,0.04,148,109,54,18,6,fade,mada
(5) 1%,117,1.07,228.6,1.06,145.6,74%,0.8,0.35,0.14,0.12,94,89,41,16,14,sage,mada
(4) 1%,80,0.9,157.3,0.79,102.4,78%,0.53,0.61,0.09,0.11,42,53,49,7,9,harbor,mada
(2) 0%,40,1.94,213.5,1.21,145.8,81%,0.73,0.25,0.03,0.13,29,24,10,1,5,viper,mada
(2) 0%,37,0.85,164.5,0.82,103.2,76%,0.62,0.35,0.08,0.05,23,28,13,3,2,breach,mada
(1) 0%,20,1.56,282.0,1.58,180.6,80%,0.95,0.45,0.1,0.0,19,12,9,2,0,brimstone,mada
(1) 0%,17,1.58,265.0,1.78,174.6,82%,0.94,0.65,0.12,0.0,16,9,11,2,0,omen,mada
(203) 32%,4095,1.19,216.2,1.3,139.6,77%,0.8,0.34,0.07,0.06,3276,2529,1374,292,227,astra,skuba
(163) 25%,3371,1.13,214.5,1.21,140.1,75%,0.76,0.28,0.08,0.07,2567,2119,933,256,228,viper,skuba
(139) 22%,2943,1.09,193.1,1.12,123.3,76%,0.7,0.41,0.06,0.07,2057,1837,1200,190,219,omen,skuba
(34) 5%,703,1.19,215.1,1.26,139.4,81%,0.77,0.41,0.08,0.06,540,428,288,56,41,brimstone,skuba
(21) 3%,436,1.09,199.5,1.19,131.2,74%,0.75,0.2,0.07,0.06,326,274,87,30,28,cypher,skuba
(20) 3%,435,1.23,232.2,1.39,150.8,72%,0.84,0.16,0.12,0.08,364,262,70,53,35,chamber,skuba
(18) 3%,377,0.97,185.4,1.04,112.0,74%,0.69,0.31,0.06,0.05,259,248,118,21,20,sage,skuba
(15) 2%,295,1.05,183.4,1.11,122.4,70%,0.7,0.14,0.04,0.06,207,187,40,11,18,killjoy,skuba
(12) 2%,280,1.14,209.8,1.26,133.4,74%,0.77,0.22,0.07,0.08,215,170,62,20,21,vyse,skuba
(6) 1%,116,1.28,240.0,1.33,141.3,76%,0.86,0.45,0.06,0.06,100,75,52,7,7,clove,skuba
(2) 0%,43,0.74,132.5,0.65,92.1,72%,0.47,0.3,0.02,0.09,20,31,13,1,4,sova,skuba
(2) 0%,41,0.75,192.5,0.97,126.2,77%,0.68,0.24,0.05,0.05,28,29,10,2,2,reyna,skuba
(2) 0%,38,,197.5,1.08,110.6,,0.71,0.26,0.05,0.08,27,25,10,2,3,phoenix,skuba
(1) 0%,24,0.96,207.0,0.84,132.0,71%,0.67,0.38,0.13,0.04,16,19,9,3,1,kayo,skuba
(1) 0%,24,1.14,174.0,1.31,124.4,79%,0.71,0.13,0.13,0.13,17,13,3,3,3,jett,skuba
(1) 0%,18,0.89,126.0,0.89,76.1,78%,0.44,0.39,0.0,0.11,8,9,7,0,2,fade,skuba
(86) 39%,1872,1.03,200.4,0.99,128.3,73%,0.7,0.39,0.1,0.07,1315,1326,725,190,140,omen,lukxo
(66) 30%,1431,1.06,217.3,1.11,145.8,71%,0.76,0.27,0.11,0.11,1090,986,380,154,158,viper,lukxo
(35) 16%,725,1.12,238.9,1.22,155.3,69%,0.85,0.17,0.12,0.12,617,506,123,89,84,cypher,lukxo
