,Match_ID,date_str,Team,T1_Won,R2.0_T1,ACS_T1,K_T1,D_T1,A_T1,+/- K/D_T1,KAST_T1,ADR_T1,HS%_T1,FK_T1,FD_T1,+/- FK/FD_T1,vs Team,R2.0_T2,ACS_T2,K_T2,D_T2,A_T2,+/- K/D_T2,KAST_T2,ADR_T2,HS%_T2,FK_T2,FD_T2,+/- FK/FD_T2
17,2023-02-23_100 Thieves/EDward Gaming,2023-02-23,100 Thieves,1,1.142,203.0,50.6,50.4,22.2,0.2,69.4,137.8,27.8,5.6,8.6,-3.0,EDward Gaming,1.142,203.0,50.6,50.4,22.2,0.2,69.4,137.8,27.8,5.6,8.6,-3.0
18,2023-02-23_FUT Esports/Rex Regum Qeon,2023-02-23,FUT Esports,1,1.166,214.8,29.8,25.6,14.6,4.2,77.8,138.0,20.6,4.6,3.4,1.2,Rex Regum Qeon,1.166,214.8,29.8,25.6,14.6,4.2,77.8,138.0,20.6,4.6,3.4,1.2
19,2023-02-23_Global Esports/Team Vitality,2023-02-23,Global Esports,0,0.788,181.0,37.2,44.6,13.6,-7.4,67.6,116.2,21.4,6.0,5.6,0.4,Team Vitality,0.788,181.0,37.2,44.6,13.6,-7.4,67.6,116.2,21.4,6.0,5.6,0.4
20,2023-02-24_FNATIC/Sentinels,2023-02-24,FNATIC,1,1.22,215.4,30.0,21.8,10.6,8.2,79.8,132.2,22.4,4.8,3.0,1.8,Sentinels,1.22,215.4,30.0,21.8,10.6,8.2,79.8,132.2,22.4,4.8,3.0,1.8
21,2023-02-24_FURIA/T1,2023-02-24,FURIA,1,1.052,223.6,31.0,21.2,12.0,9.8,78.0,143.0,28.8,2.6,1.4,1.2,T1,1.052,223.6,31.0,21.2,12.0,9.8,78.0,143.0,28.8,2.6,1.4,1.2
22,2023-02-25_LEVIATÁN/Team Vitality,2023-02-25,LEVIATÁN,1,1.158,224.4,35.8,31.0,17.4,4.8,71.8,140.2,22.8,5.2,4.0,1.2,Team Vitality,1.158,224.4,35.8,31.0,17.4,4.8,71.8,140.2,22.8,5.2,4.0,1.2
23,2023-02-25_Natus Vincere/Team Secret,2023-02-25,Natus Vincere,1,1.292,242.8,33.2,20.2,12.4,13.0,82.6,159.8,31.4,5.4,2.2,3.2,Team Secret,1.292,242.8,33.2,20.2,12.4,13.0,82.6,159.8,31.4,5.4,2.2,3.2
24,2023-02-26_100 Thieves/FUT Esports,2023-02-26,100 Thieves,1,1.1460000000000001,216.2,50.4,47.0,28.4,3.4,78.0,141.8,25.0,7.4,6.0,1.4,FUT Esports,1.1460000000000001,216.2,50.4,47.0,28.4,3.4,78.0,141.8,25.0,7.4,6.0,1.4
25,2023-02-26_FNATIC/FURIA,2023-02-26,FNATIC,1,1.1280000000000001,212.2,40.4,37.6,20.6,2.8,74.6,138.6,24.6,5.6,5.6,0.0,FURIA,1.1280000000000001,212.2,40.4,37.6,20.6,2.8,74.6,138.6,24.6,5.6,5.6,0.0
26,2023-02-27_100 Thieves/FNATIC,2023-02-27,100 Thieves,0,0.5740000000000001,167.6,21.6,31.8,7.4,-10.2,64.2,116.4,25.6,2.4,5.0,-2.6,FNATIC,0.5740000000000001,167.6,21.6,31.8,7.4,-10.2,64.2,116.4,25.6,2.4,5.0,-2.6
27,2023-02-27_LEVIATÁN/Natus Vincere,2023-02-27,LEVIATÁN,0,0.9019999999999999,164.8,21.2,29.0,8.0,-7.8,64.4,113.2,21.6,3.6,4.2,-0.6,Natus Vincere,0.9019999999999999,164.8,21.2,29.0,8.0,-7.8,64.4,113.2,21.6,3.6,4.2,-0.6
